order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,4852,2026-04-11,359,10,371.69,3716.90,Completed,2026-04-14
2,6765,2026-01-28,180,9,478.70,4308.30,Completed,2026-01-29
3,4036,2022-12-12,111,5,370.04,1850.20,Completed,2022-12-16
4,9225,2022-10-28,120,4,116.68,466.72,Completed,2022-10-30
5,3970,2025-09-28,80,9,101.09,909.81,Pending,
6,699,2025-07-02,88,8,417.27,3338.16,Completed,2025-07-06
7,6910,2023-02-22,258,9,213.68,1923.12,Completed,2023-02-27
8,1039,2023-03-09,398,8,330.27,2642.16,Completed,2023-03-14
9,9512,2023-10-04,357,9,300.19,2701.71,Completed,2023-10-09
10,2235,2022-10-12,344,10,401.43,4014.30,Completed,2022-10-18
11,9707,2024-07-19,3,1,493.27,493.27,Completed,2024-07-22
12,2385,2023-03-05,197,5,171.98,859.90,Completed,2023-03-12
13,3568,2023-02-05,498,10,404.62,4046.20,Completed,2023-02-05
14,8782,2025-08-30,298,7,425.11,2975.77,Pending,
15,6533,2026-08-15,474,8,55.78,446.24,Completed,2026-08-19
16,8237,2024-04-18,472,5,14.38,71.90,Completed,2024-04-22
17,235,2026-01-01,285,6,431.52,2589.12,Completed,2026-01-06
18,8348,2026-02-03,315,1,435.19,435.19,Completed,2026-02-10
19,1481,2023-03-06,236,9,436.32,3926.88,Completed,2023-03-12
20,700,2025-04-09,430,1,268.70,268.70,Completed,2025-04-16
21,8643,2025-04-07,499,3,58.15,174.45,Cancelled,
22,6645,2026-01-21,457,1,482.67,482.67,Completed,2026-01-27
23,1554,2023-02-26,299,9,132.60,1193.40,Completed,2023-02-27
24,9286,2022-03-26,295,9,217.15,1954.35,Completed,2022-03-28
25,4085,2025-10-14,337,2,286.02,572.04,Completed,2025-10-21
26,9516,2024-05-17,446,7,214.55,1501.85,Completed,2024-05-23
27,5958,2024-04-06,27,9,151.46,1363.14,Cancelled,
28,5283,2024-10-14,257,10,188.54,1885.40,Completed,2024-10-16
29,8369,2026-02-03,294,3,180.29,540.87,Completed,2026-02-09
30,314,2022-05-08,206,7,342.84,2399.88,Pending,
31,518,2023-07-01,290,5,114.76,573.80,Completed,2023-07-03
32,7045,2026-05-22,492,10,137.00,1370.00,Pending,
33,5693,2025-05-17,191,9,135.16,1216.44,Completed,2025-05-24
34,1821,2025-03-27,155,1,6.82,6.82,Completed,2025-03-29
35,6912,2023-06-12,69,6,254.97,1529.82,Pending,
36,8958,2025-08-31,295,1,217.15,217.15,Pending,
37,449,2023-02-09,82,5,338.96,1694.80,Completed,2023-02-09
38,490,2023-10-28,283,10,104.13,1041.30,Completed,2023-11-03
39,6546,2025-06-22,244,5,67.93,339.65,Cancelled,
40,7474,2024-06-28,145,5,470.99,2354.95,Completed,2024-06-29
41,687,2022-05-30,95,6,213.22,1279.32,Completed,2022-06-04
42,5101,2023-12-24,493,10,438.05,4380.50,Completed,2023-12-26
43,3821,2025-02-19,153,3,376.33,1128.99,Pending,
44,5515,2024-09-29,291,9,83.86,754.74,Completed,2024-10-02
45,1650,2024-08-12,376,2,228.89,457.78,Completed,2024-08-18
46,6377,2025-05-22,356,8,235.63,1885.04,Completed,2025-05-23
47,7756,2022-08-31,25,8,278.29,2226.32,Completed,2022-08-31
48,5309,2022-11-09,54,6,80.25,481.50,Completed,2022-11-09
49,3520,2025-11-11,81,3,196.36,589.08,Pending,
50,6513,2022-12-25,363,7,99.55,696.85,Completed,2022-12-28
51,586,2025-09-10,84,2,202.52,405.04,Completed,2025-09-11
52,5420,2025-08-16,424,1,424.00,424.00,Pending,
53,6900,2024-03-13,115,7,241.14,1687.98,Completed,2024-03-17
54,9160,2022-04-27,253,7,71.96,503.72,Completed,2022-04-29
55,5457,2025-09-18,435,7,490.81,3435.67,Completed,2025-09-25
56,6628,2022-11-11,23,2,440.17,880.34,Completed,2022-11-12
57,5779,2026-04-11,261,4,64.16,256.64,Completed,2026-04-12
58,7280,2025-01-05,146,6,53.75,322.50,Completed,2025-01-08
59,7135,2023-07-06,447,4,410.77,1643.08,Completed,2023-07-09
60,8681,2022-10-10,386,9,131.64,1184.76,Completed,2022-10-12
61,5068,2023-12-26,183,9,449.29,4043.61,Completed,2023-12-28
62,8679,2023-11-05,229,10,211.61,2116.10,Completed,2023-11-08
63,8531,2023-04-04,421,8,332.33,2658.64,Completed,2023-04-04
64,7644,2023-07-05,44,6,487.13,2922.78,Completed,2023-07-06
65,5088,2022-01-28,83,7,201.24,1408.68,Completed,2022-01-31
66,7324,2026-08-08,92,2,173.47,346.94,Completed,2026-08-15
67,1330,2023-06-12,296,4,460.09,1840.36,Completed,2023-06-19
68,47,2024-07-31,95,10,213.22,2132.20,Completed,2024-08-06
69,9137,2024-02-11,291,4,83.86,335.44,Completed,2024-02-11
70,2666,2022-01-14,460,6,157.69,946.14,Completed,2022-01-15
71,7683,2023-09-02,129,7,431.35,3019.45,Completed,2023-09-08
72,2350,2026-02-14,67,10,182.79,1827.90,Completed,2026-02-15
73,5291,2024-06-23,163,3,495.47,1486.41,Pending,
74,6832,2022-10-15,12,5,286.26,1431.30,Completed,2022-10-20
75,6533,2026-04-30,149,3,483.69,1451.07,Completed,2026-05-02
76,218,2026-08-09,328,10,477.13,4771.30,Completed,2026-08-11
77,195,2022-08-28,158,10,377.45,3774.50,Completed,2022-09-04
78,9662,2024-04-13,353,9,185.94,1673.46,Completed,2024-04-16
79,2136,2025-12-24,149,9,483.69,4353.21,Completed,2025-12-25
80,7229,2026-08-14,49,4,348.60,1394.40,Cancelled,
81,7765,2024-11-28,216,9,468.14,4213.26,Pending,
82,3733,2026-07-30,376,2,228.89,457.78,Completed,2026-08-05
83,8810,2022-02-26,58,3,454.13,1362.39,Completed,2022-03-04
84,5105,2026-06-04,387,6,158.26,949.56,Completed,2026-06-06
85,929,2026-04-26,214,7,38.67,270.69,Completed,2026-04-30
86,9369,2025-01-10,292,8,85.42,683.36,Completed,2025-01-17
87,8855,2025-11-04,301,7,155.82,1090.74,Completed,2025-11-09
88,2993,2024-10-19,15,5,218.49,1092.45,Completed,2024-10-20
89,3597,2026-01-03,36,5,316.43,1582.15,Completed,2026-01-10
90,4787,2025-05-30,453,10,489.33,4893.30,Completed,2025-06-03
91,7481,2023-10-14,198,3,461.44,1384.32,Completed,2023-10-20
92,524,2025-01-28,427,8,395.87,3166.96,Pending,
93,3150,2025-01-12,138,3,493.75,1481.25,Completed,2025-01-13
94,6107,2026-01-31,257,3,188.54,565.62,Cancelled,
95,9929,2022-09-16,97,3,313.91,941.73,Completed,2022-09-21
96,5061,2022-07-18,202,1,29.58,29.58,Completed,2022-07-22
97,1463,2024-06-13,99,5,172.88,864.40,Completed,2024-06-16
98,6266,2024-09-15,45,4,187.51,750.04,Completed,2024-09-22
99,2253,2025-10-09,480,9,147.20,1324.80,Completed,2025-10-09
100,8185,2022-11-22,149,2,483.69,967.38,Completed,2022-11-22
101,9274,2022-08-11,115,6,241.14,1446.84,Completed,2022-08-16
102,4392,2024-10-13,411,6,319.78,1918.68,Completed,2024-10-19
103,3485,2022-05-25,208,8,97.80,782.40,Completed,2022-05-27
104,3992,2026-05-16,18,3,367.47,1102.41,Completed,2026-05-23
105,3025,2025-09-01,430,1,268.70,268.70,Completed,2025-09-07
106,2022,2022-08-19,82,10,338.96,3389.60,Completed,2022-08-19
107,8583,2025-02-18,281,1,206.84,206.84,Completed,2025-02-24
108,9186,2023-11-02,4,4,245.53,982.12,Completed,2023-11-04
109,6823,2023-08-31,439,6,152.33,913.98,Completed,2023-09-01
110,6840,2025-05-27,309,4,135.60,542.40,Completed,2025-05-27
111,7630,2025-01-11,78,4,473.71,1894.84,Completed,2025-01-12
112,9773,2023-10-03,42,6,330.07,1980.42,Completed,2023-10-10
113,4843,2025-01-19,396,2,223.19,446.38,Completed,2025-01-21
114,3068,2023-06-15,166,7,142.91,1000.37,Completed,2023-06-20
115,9649,2026-07-15,294,8,180.29,1442.32,Completed,2026-07-18
116,1209,2023-10-21,56,1,50.35,50.35,Completed,2023-10-21
117,7594,2022-09-05,389,6,318.28,1909.68,Pending,
