product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Green Home Current 0001,Home,128.55,86.13,302,63
2,Thistle Clothing Find 0002,Clothing,56.23,35.42,575,92
3,SaddleBrown Beauty Report 0003,Beauty,493.27,300.89,859,86
4,Cyan Electronics Let 0004,Electronics,245.53,191.51,790,45
5,PaleTurquoise Beauty Those 0005,Beauty,154.45,94.21,268,85
6,DarkBlue Beauty Watch 0006,Beauty,105.65,54.94,757,77
7,Moccasin Sports Them 0007,Sports,37.08,15.94,99,83
8,MediumAquaMarine Home More 0008,Home,22.15,10.41,594,88
9,Khaki Clothing Soon 0009,Clothing,494.27,276.79,116,63
10,PeachPuff Sports Everybody 0010,Sports,494.70,202.83,306,53
11,Thistle Beauty Class 0011,Beauty,225.64,142.15,546,31
12,LightGreen Sports Sister 0012,Sports,286.26,157.44,764,45
13,Olive Home Appear 0013,Home,429.43,317.78,620,62
14,DarkSeaGreen Books Bill 0014,Books,59.61,45.30,140,40
15,Ivory Books Station 0015,Books,218.49,87.40,854,8
16,Bisque Books Writer 0016,Books,265.61,177.96,157,70
17,Gray Beauty Partner 0017,Beauty,86.43,66.55,226,28
18,MediumPurple Sports Build 0018,Sports,367.47,282.95,44,80
19,SaddleBrown Books Start 0019,Books,346.09,211.11,185,52
20,PaleGreen Sports Think 0020,Sports,400.54,156.21,342,19
21,DarkGreen Sports Firm 0021,Sports,430.28,318.41,544,98
22,Olive Electronics Not 0022,Electronics,465.43,209.44,715,17
23,MediumSlateBlue Beauty Light 0023,Beauty,440.17,321.32,21,55
24,White Electronics Despite 0024,Electronics,43.39,18.22,230,74
25,SkyBlue Sports Laugh 0025,Sports,278.29,180.89,264,10
26,MediumBlue Beauty Skin 0026,Beauty,338.07,189.32,580,15
27,MediumAquaMarine Sports Effort 0027,Sports,151.46,63.61,789,67
28,RosyBrown Beauty Speak 0028,Beauty,343.70,185.60,954,13
29,LightGreen Beauty Because 0029,Beauty,0.00,0.00,373,15
30,DarkSlateGray Books Eye 0030,Books,0.00,0.00,76,29
31,MediumTurquoise Beauty War 0031,Beauty,321.17,244.09,554,80
32,MediumOrchid Sports Bed 0032,Sports,414.86,219.88,349,41
33,Bisque Beauty Glass 0033,Beauty,294.47,185.52,460,89
34,Orchid Sports Much 0034,Sports,268.68,131.65,291,56
35,DeepSkyBlue Books Must 0035,Books,499.01,359.29,370,24
36,Thistle Sports Capital 0036,Sports,316.43,186.69,89,6
37,Indigo Sports Cultural 0037,Sports,198.16,71.34,486,61
38,RoyalBlue Electronics On 0038,Electronics,402.25,403.25,282,44
39,Brown Clothing Performance 0039,Clothing,42.61,34.09,296,86
40,Magenta Home Nature 0040,Home,172.95,115.88,647,5
